"Jeanne Dielman, 23, Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Belgium
The Last Days of Disco,Whit Stillman,1998,United States
Homicide,David Mamet,1991,United States
That Hamilton Woman,Alexander Korda,1941,United Kingdom
Howards End,James Ivory,1992,United Kingdom
Monsoon Wedding,Mira Nair,2001,India
Wings of Desire,Wim Wenders,1987,Germany
Z,Costa-Gavras,1969,France
A Christmas Tale,Arnaud Desplechin,2008,France
Gomorrah,Matteo Garrone,2008,Italy
Downhill Racer,Michael Ritchie,1969,United States
The Golden Age of Television,,,United States
Che,Steven Soderbergh,2008,United States
Rome Open City,Roberto Rossellini,1945,Italy
Paisan,Roberto Rossellini,1946,Italy
Germany Year Zero,Roberto Rossellini,1948,Germany
Roberto Rossellini's War Trilogy,Roberto Rossellini,,
"Paris, Texas",Wim Wenders,1984,Germany
Revanche,Götz Spielmann,2008,Germany
Lola Montès,Max Ophuls,1955,Germany
Hunger,Steve McQueen,2008,United States
Make Way for Tomorrow,Leo Mccarey,1937,United Kingdom
Dillinger is Dead,Marco Ferreri,1969,Italy
Bigger Than Life,Nicholas Ray,1956,United States
Letters from Fontainhas: Three Films by Pedro Costa,Pedro Costa,,Portugal
Ossos,Pedro Costa,1997,Portugal
In Vanda's room,Pedro Costa,2000,Portugal
Colossal Youth,Pedro Costa,2006,Portugal
Vivre Sa Vie,Jean-Luc Godard,1962,France
Summer Hours,Olivier Assayas,2008,France
Ride with the Devil,Ang Lee,1999,United States
The Fugitive Kind,Sidney Lumet,1959,United States
Stagecoach,John Ford,1939,United States
By Brakhage: An Anthology Volume Two,Stan Brakhage,,United States
By Brakhage: An Anthology Volumes One and Two,Stan Brakhage,,United States
Close-Up,Abbas Kiarostami,1990,Iran
Everlasting Moments,Jan Troell,2008,Sweden
Mystery Train,Jim Jarmusch,1989,United States
Red Desert,Michelangelo Antonioni,1964,Italy
Night Train to Munich,Carol Reed,1940,United Kingdom
The Only Son/There Was a Father,Yasujiro Ozu,,Japan
The Only Son,Yasujiro Ozu,1936,Japan
There Was a Father,Yasujiro Ozu,1942,Japan
The Secret of the Grain,Abdellatif Kechiche,2005,France
3 Silent Classics by Josef Von Sternberg,Josef Von Sternberg,,United States
Underworld,Josef Von Sternberg,1927,United States
The Last Command,Josef Von Sternberg,1928,United States
The Docks of New York,Josef Von Sternberg,1928,United States
Louie Bluie,Terry Zwigoff,1985,United States
Crumb,Terry Zwigoff,1995,United States
L'Enfance Nue,Maurice Pialat,1968,France
Merry Christmas Mr. Lawrence,Nagisa Oshima,1983,Japan
The Thin Red Line,Terrence Malick,1998,United States
The Magician,Ingmar Bergman,1958,Sweden
Paths of Glory,Stanley Kubrick,1957,United States
House,Nobuhiko Obayashi,1977,Japan
The Darjeeling Limited,Wes Anderson,2007,United States
The Night of the Hunter,Charles Laughton,1955,United States
Antichrist,Lars von Trier,2009,Denmark
Modern Times,Charles Chaplin,1936,United States
America Lost and Found: The BBS Story,,,United States
Head,Bob Rafelson,1968,United States
Easy Rider,Dennis Hopper,1969,United States
Five Easy Pieces,Bob Rafelson,1970,United States
"Drive, He Said",Jack Nicholson,1971,United States
A Safe Place,Henry Jaglom,1971,United States
The Last Picture Show,Peter Bogdanovich,1971,United States
The King of Marvin Gardens,Bob Rafelson,1972,United States
Cronos,Guillermo Del Toro,1993,Mexico
Broadcast News,James L. Brooks,1987,United States
Fish Tank,Andrea Arnold,2009,United Kingdom
Still Walking,Hirokazu Kore-eda,2008,Japan
Sweet Smell of Success,Alexander Mackendrick,1957,United States
Senso,Luchino Visconti,1954,Italy
The Times of Harvey Milk,Robert Epstein,1984,United States
Topsy-Turvy,Mike Leigh,1999,United States
